Type,NO,Living,Working,Commerce,Healthcare,Education,Entertainment,servicios,micro servicios?,transporte,fe?
social_centre,,,x,,,x,x,,,,
spa,,,x,,,,x,,,,
sport_school,,,x,,,x,,,,,
stables,,,x,,,,x,,,,
stage,,,x,,,,x,,,,
stool,,,,,,,,,x,,
stroller_parking,,,,,,,,x,,,
student_accommodation,,x,x,,,,,,,,
studio,,,x,,,,x,,,,
surf_school,,,x,,,x,x,,,,
swimming_pool,,,,,,,x,,,,
swimming_school,,,x,,,x,x,,,,
table,x,,,,,,,,,,
taxi,,,,,,,,,,x,
telephone,,,,,,,,x,,,
television,x,,,,,,,,,,
theatre,,,x,,,,x,,,,
ticket_booth,x,,,,,,,,,,
ticket_validator,,,,,,,,,x,,
toilets,,,,,,,,,x,,
tool_library,,,x,,,,,,,,
townhall,,,x,,,,,,,,
toy_library,,,x,,,,x,,,,
traffic_park,,,x,,,x,,,,,
trailer_park,x,,,,,,,,,,
trolley_bay,,,,,,,,,x,,
vacuum_cleaner,,,,,,,,,x,,
vehicle_inspection,,,x,,,,,,,,
vehicle_ramp,x,,,,,,,,,,
warehouse,,,x,,,,,,,,
washing_machine,x,,,,,,,,,,
water,x,,,,,,,,,,
water_point,,,,,,,,,x,,
whirlpool,,,,,,,x,,,,
winery,,,x,,,,x,,,,
workshop,,,x,,,,,,,,
yacht_club,x,,,,,,,,,,
yes,x,,,,,,,,,,
youth_centre,,,x,,,x,x,,,,
